room_id,arrivalDate,totalPrice
1152328,2023-11-20,376.95
1152329,2023-11-20,356.95
1152330,2023-11-20,316.95
1152328,2023-11-21,376.95
1152329,2023-11-21,356.95
1152330,2023-11-21,316.95
1152328,2023-11-22,376.95
1152329,2023-11-22,356.95
1152330,2023-11-22,316.95
1152328,2023-11-23,376.95
1152329,2023-11-23,356.95
1152330,2023-11-23,316.95
1152328,2023-11-24,376.95
1152329,2023-11-24,356.95
1152330,2023-11-24,316.95
1152328,2023-11-25,376.95
1152329,2023-11-25,356.95
1152330,2023-11-25,316.95
